invoice_id,unit_price,quantity,tax_5,total,cogs,gross_margin_percentage,gross_income,rating,branch_id,customer_id,gender_id,product_line_id,payment_id,date_id,id
787-56-0757,80.36,4,16.072,337.512,321.44,4.761904762,16.072,8.3,2,1,1,5,3,54,84
360-39-5055,48.91,5,12.2275,256.7775,244.55,4.761904762,12.2275,6.6,2,1,2,4,2,68,85
730-50-9884,83.06,7,29.071,610.491,581.42,4.761904762,29.071,4.0,2,2,1,4,1,64,86
362-58-8315,76.52,5,19.13,401.73,382.6,4.761904762,19.13,9.9,2,2,2,6,2,84,87
633-44-8566,49.38,7,17.283,362.943,345.66,4.761904762,17.283,7.3,1,1,2,5,3,86,88
504-35-8843,42.47,1,2.1235,44.5935,42.47,4.761904762,2.1235,5.7,1,2,2,4,2,2,89
318-68-5053,76.99,6,23.097,485.037,461.94,4.761904762,23.097,6.1,3,2,1,1,2,58,90
565-80-5980,47.38,4,9.476,198.996,189.52,4.761904762,9.476,7.1,2,1,1,3,2,23,91
225-32-0908,44.86,10,22.43,471.03,448.6,4.761904762,22.43,8.2,2,2,1,4,1,26,92
873-51-0671,21.98,7,7.693,161.553,153.86,4.761904762,7.693,5.1,1,1,1,4,1,10,93
152-08-9985,64.36,9,28.962,608.202,579.24,4.761904762,28.962,8.6,3,1,2,1,3,71,94
512-91-0811,89.75,1,4.4875,94.2375,89.75,4.761904762,4.4875,6.6,2,2,2,1,3,37,95
594-34-4444,97.16,1,4.858,102.018,97.16,4.761904762,4.858,7.2,1,2,2,2,1,67,96
766-85-7061,87.87,10,43.935,922.635,878.7,4.761904762,43.935,5.1,3,2,2,1,1,88,97
871-39-9221,12.45,6,3.735,78.435,74.7,4.761904762,3.735,4.1,2,2,1,2,2,40,98
865-92-6136,52.75,3,7.9125,166.1625,158.25,4.761904762,7.9125,9.3,1,2,2,5,1,82,99
733-01-9107,82.7,6,24.81,521.01,496.2,4.761904762,24.81,7.4,3,2,2,3,2,64,100
163-56-7055,48.71,1,2.4355,51.1455,48.71,4.761904762,2.4355,4.1,2,1,2,6,2,85,101
189-98-2939,78.55,9,35.3475,742.2975,706.95,4.761904762,35.3475,7.2,2,2,2,6,2,60,102
551-21-3069,23.07,9,10.3815,218.0115,207.63,4.761904762,10.3815,4.9,2,2,1,2,2,32,103
212-62-1842,58.26,6,17.478,367.038,349.56,4.761904762,17.478,9.9,1,2,2,5,2,87,104
716-39-1409,30.35,7,10.6225,223.0725,212.45,4.761904762,10.6225,8.0,3,2,2,1,2,78,105
704-48-3927,88.67,10,44.335,931.035,886.7,4.761904762,44.335,7.3,1,1,2,2,1,12,106
628-34-3388,27.38,6,8.214,172.494,164.28,4.761904762,8.214,7.9,2,2,2,6,3,5,107
630-74-5166,62.13,6,18.639,391.419,372.78,4.761904762,18.639,7.4,1,2,2,4,2,81,108
588-01-7461,33.98,9,15.291,321.111,305.82,4.761904762,15.291,4.2,2,2,1,5,2,83,109
861-77-0145,81.97,10,40.985,860.685,819.7,4.761904762,40.985,9.2,2,1,2,2,2,62,110
479-26-8945,16.49,2,1.649,34.629,32.98,4.761904762,1.649,4.6,3,1,1,4,1,36,111
210-67-5886,98.21,3,14.7315,309.3615,294.63,4.761904762,14.7315,7.8,2,1,1,1,3,36,112
227-78-1148,72.84,7,25.494,535.374,509.88,4.761904762,25.494,8.4,3,2,1,6,2,46,113
645-44-1170,58.07,9,26.1315,548.7615,522.63,4.761904762,26.1315,4.3,1,1,2,3,1,19,114
237-01-6122,80.79,9,36.3555,763.4655,727.11,4.761904762,36.3555,9.5,2,1,1,3,3,32,115
225-98-1496,27.02,3,4.053,85.113,81.06,4.761904762,4.053,7.1,2,2,1,6,3,61,116
291-32-1427,21.94,5,5.485,115.185,109.7,4.761904762,5.485,5.3,3,1,2,6,1,64,117
659-65-8956,51.36,1,2.568,53.928,51.36,4.761904762,2.568,5.2,3,1,2,6,1,16,118
642-32-2990,10.96,10,5.48,115.08,109.6,4.761904762,5.48,6.0,1,2,1,5,1,33,119
378-24-2715,53.44,2,5.344,112.224,106.88,4.761904762,5.344,4.1,3,2,2,3,1,20,120
638-60-7125,99.56,8,39.824,836.304,796.48,4.761904762,39.824,5.2,1,2,1,2,3,45,121
659-36-1684,57.12,7,19.992,419.832,399.84,4.761904762,19.992,6.5,2,1,2,4,3,12,122
219-22-9386,99.96,9,44.982,944.622,899.64,4.761904762,44.982,4.2,3,1,2,4,3,68,123
336-78-2147,63.91,8,25.564,536.844,511.28,4.761904762,25.564,4.6,2,1,2,3,3,72,124
268-27-6179,56.47,8,22.588,474.348,451.76,4.761904762,22.588,7.3,3,1,1,6,1,68,125
668-90-8900,93.69,7,32.7915,688.6215,655.83,4.761904762,32.7915,4.5,1,2,1,3,3,69,126
870-54-3162,32.25,5,8.0625,169.3125,161.25,4.761904762,8.0625,9.0,1,2,1,4,2,27,127
189-08-9157,31.73,9,14.2785,299.8485,285.57,4.761904762,14.2785,5.9,2,2,1,6,3,8,128
663-86-9076,68.54,8,27.416,575.736,548.32,4.761904762,27.416,8.5,2,1,1,5,1,8,129
549-84-7482,90.28,9,40.626,853.146,812.52,4.761904762,40.626,7.2,3,2,1,4,1,39,130
191-10-6171,39.62,7,13.867,291.207,277.34,4.761904762,13.867,7.5,3,2,1,6,2,25,131
802-70-5316,92.13,6,27.639,580.419,552.78,4.761904762,27.639,8.3,1,1,1,4,2,65,132
695-51-0018,34.84,4,6.968,146.328,139.36,4.761904762,6.968,7.4,3,2,1,4,2,41,133
590-83-4591,87.45,6,26.235,550.935,524.7,4.761904762,26.235,8.8,3,1,2,2,3,48,134
483-71-1164,81.3,6,24.39,512.19,487.8,4.761904762,24.39,5.3,2,2,1,1,1,67,135
597-78-7908,90.22,3,13.533,284.193,270.66,4.761904762,13.533,6.2,2,2,2,6,2,49,136
700-81-1757,26.31,5,6.5775,138.1275,131.55,4.761904762,6.5775,8.8,1,2,1,2,3,18,137
354-39-5160,34.42,6,10.326,216.846,206.52,4.761904762,10.326,9.8,1,1,1,3,2,49,138
241-72-9525,51.91,10,25.955,545.055,519.1,4.761904762,25.955,8.2,3,2,2,4,2,47,139
575-30-8091,72.5,8,29.0,609.0,580.0,4.761904762,29.0,9.2,1,2,2,4,1,75,140
731-81-9469,89.8,10,44.9,942.9,898.0,4.761904762,44.9,5.4,2,1,1,4,3,23,141
280-17-4359,90.5,10,45.25,950.25,905.0,4.761904762,45.25,8.1,2,1,2,1,2,25,142
338-65-2210,68.6,10,34.3,720.3,686.0,4.761904762,34.3,9.1,2,1,1,1,2,36,143
488-25-4221,30.41,1,1.5205,31.9305,30.41,4.761904762,1.5205,8.4,2,1,1,5,3,53,144
239-10-7476,77.95,6,23.385,491.085,467.7,4.761904762,23.385,8.0,1,2,1,3,1,21,145
458-41-1477,46.26,6,13.878,291.438,277.56,4.761904762,13.878,9.5,2,2,1,1,3,67,146
685-64-1609,30.14,10,15.07,316.47,301.4,4.761904762,15.07,9.2,1,1,1,6,1,41,147
568-90-5112,66.14,4,13.228,277.788,264.56,4.761904762,13.228,5.6,2,2,2,1,3,78,148
262-47-2794,71.86,8,28.744,603.624,574.88,4.761904762,28.744,6.2,3,1,2,3,3,65,149
238-49-0436,32.46,8,12.984,272.664,259.68,4.761904762,12.984,4.9,1,2,2,1,3,86,150
608-96-3517,91.54,4,18.308,384.468,366.16,4.761904762,18.308,4.8,3,1,1,6,3,82,151
584-86-7256,34.56,7,12.096,254.016,241.92,4.761904762,12.096,7.3,2,1,2,4,3,70,152
746-94-0204,83.24,9,37.458,786.618,749.16,4.761904762,37.458,7.4,1,2,2,6,3,29,153
214-17-6927,16.48,6,4.944,103.824,98.88,4.761904762,4.944,9.9,2,2,1,5,1,38,154
400-89-4171,80.97,8,32.388,680.148,647.76,4.761904762,32.388,9.3,2,2,1,4,2,28,155
782-95-9291,92.29,5,23.0725,484.5225,461.45,4.761904762,23.0725,9.0,1,1,2,5,3,51,156
279-74-2924,72.17,1,3.6085,75.7785,72.17,4.761904762,3.6085,6.1,3,1,2,2,2,4,157
307-85-2293,50.28,5,12.57,263.97,251.4,4.761904762,12.57,9.7,3,2,2,3,1,66,158
743-04-1105,97.22,9,43.749,918.729,874.98,4.761904762,43.749,6.0,3,1,2,1,1,89,159
423-57-2993,93.39,6,28.017,588.357,560.34,4.761904762,28.017,10.0,3,2,2,4,1,86,160
894-41-5205,43.18,8,17.272,362.712,345.44,4.761904762,17.272,8.3,2,2,1,5,3,19,161
275-28-0149,63.69,1,3.1845,66.8745,63.69,4.761904762,3.1845,6.0,1,2,2,4,2,56,162
101-17-6199,45.79,7,16.0265,336.5565,320.53,4.761904762,16.0265,7.0,1,2,2,5,3,72,163
423-80-0988,76.4,2,7.64,160.44,152.8,4.761904762,7.64,6.5,2,2,2,4,1,30,164
548-46-9322,39.9,10,19.95,418.95,399.0,4.761904762,19.95,5.9,3,2,2,5,3,51,165
505-02-0892,42.57,8,17.028,357.588,340.56,4.761904762,17.028,5.6,3,1,2,1,1,56,166
234-65-2137,95.58,10,47.79,1003.59,955.8,4.761904762,47.79,4.8,2,2,2,3,2,16,167
687-47-8271,98.98,10,49.49,1039.29,989.8,4.761904762,49.49,8.7,1,2,2,6,3,39,168
796-32-9050,51.28,6,15.384,323.064,307.68,4.761904762,15.384,6.5,1,2,2,5,2,19,169
105-31-1824,69.52,7,24.332,510.972,486.64,4.761904762,24.332,8.5,1,1,2,4,3,32,170
249-42-3782,70.01,5,17.5025,367.5525,350.05,4.761904762,17.5025,5.5,1,2,2,1,1,3,171
316-55-4634,80.05,5,20.0125,420.2625,400.25,4.761904762,20.0125,9.4,3,1,2,5,3,26,172
733-33-4967,20.85,8,8.34,175.14,166.8,4.761904762,8.34,6.3,2,2,2,2,2,62,173
608-27-6295,52.89,6,15.867,333.207,317.34,4.761904762,15.867,9.8,3,1,2,2,3,19,174
414-12-7047,19.79,8,7.916,166.236,158.32,4.761904762,7.916,8.7,3,2,2,5,1,18,175
827-26-2100,33.84,9,15.228,319.788,304.56,4.761904762,15.228,8.8,1,1,2,3,1,80,176
175-54-2529,22.17,8,8.868,186.228,177.36,4.761904762,8.868,9.6,1,1,2,5,3,62,177
139-52-2867,22.51,7,7.8785,165.4485,157.57,4.761904762,7.8785,4.8,2,2,1,6,3,44,178
407-63-8975,73.88,6,22.164,465.444,443.28,4.761904762,22.164,4.4,1,2,2,5,1,82,179
342-65-4817,86.8,3,13.02,273.42,260.4,4.761904762,13.02,9.9,2,1,2,1,1,28,180
130-98-8941,64.26,7,22.491,472.311,449.82,4.761904762,22.491,5.7,2,2,2,6,2,40,181
434-83-9547,38.47,8,15.388,323.148,307.76,4.761904762,15.388,7.7,2,1,2,5,2,23,182
851-28-6367,15.5,10,7.75,162.75,155.0,4.761904762,7.75,8.0,1,1,2,4,1,82,183
824-88-3614,34.31,8,13.724,288.204,274.48,4.761904762,13.724,5.7,2,2,2,1,1,25,184
586-25-0848,12.34,7,4.319,90.699,86.38,4.761904762,4.319,6.7,1,2,1,4,3,63,185
895-66-0685,18.08,3,2.712,56.952,54.24,4.761904762,2.712,8.0,3,1,2,5,1,64,186
305-14-0245,94.49,8,37.796,793.716,755.92,4.761904762,37.796,7.5,3,1,1,3,1,62,187
732-04-5373,46.47,4,9.294,195.174,185.88,4.761904762,9.294,7.0,3,1,2,3,2,39,188
400-60-7251,74.07,1,3.7035,77.7735,74.07,4.761904762,3.7035,9.9,1,2,2,3,1,41,189
593-65-1552,69.81,4,13.962,293.202,279.24,4.761904762,13.962,5.9,2,2,1,3,3,28,190
284-34-9626,77.04,3,11.556,242.676,231.12,4.761904762,11.556,7.2,3,2,1,3,3,42,191
437-58-8131,73.52,2,7.352,154.392,147.04,4.761904762,7.352,4.6,3,2,1,6,1,15,192
286-43-6208,87.8,9,39.51,829.71,790.2,4.761904762,39.51,9.2,2,2,1,5,2,75,193
641-43-2399,25.55,4,5.11,107.31,102.2,4.761904762,5.11,5.7,3,2,2,3,1,26,194
831-07-6050,32.71,5,8.1775,171.7275,163.55,4.761904762,8.1775,9.9,1,2,2,2,3,78,195
556-86-3144,74.29,1,3.7145,78.0045,74.29,4.761904762,3.7145,5.0,2,1,1,6,2,13,196
848-24-9445,43.7,2,4.37,91.77,87.4,4.761904762,4.37,4.9,2,1,2,1,2,85,197
856-22-8149,25.29,1,1.2645,26.5545,25.29,4.761904762,1.2645,6.1,1,2,1,3,1,82,198
699-01-4164,41.5,4,8.3,174.3,166.0,4.761904762,8.3,8.2,2,2,2,1,3,71,199
420-11-4919,71.39,5,17.8475,374.7975,356.95,4.761904762,17.8475,5.5,2,1,1,5,3,48,200
606-80-4905,19.15,6,5.745,120.645,114.9,4.761904762,5.745,6.8,2,1,1,4,3,29,201
542-41-0513,57.49,4,11.498,241.458,229.96,4.761904762,11.498,6.6,3,1,1,2,2,74,202
426-39-2418,61.41,7,21.4935,451.3635,429.87,4.761904762,21.4935,9.8,2,2,2,2,2,14,203
875-46-5808,25.9,10,12.95,271.95,259.0,4.761904762,12.95,8.7,3,1,2,1,1,37,204
394-43-4238,17.77,5,4.4425,93.2925,88.85,4.761904762,4.4425,5.4,3,1,2,3,3,46,205
749-24-1565,23.03,9,10.3635,217.6335,207.27,4.761904762,10.3635,7.9,1,2,1,1,1,3,206
672-51-8681,66.65,9,29.9925,629.8425,599.85,4.761904762,29.9925,9.7,2,1,1,2,3,4,207
263-87-5680,28.53,10,14.265,299.565,285.3,4.761904762,14.265,7.8,2,1,1,3,1,77,208
573-58-9734,30.37,3,4.5555,95.6655,91.11,4.761904762,4.5555,5.1,3,2,1,6,1,87,209
817-69-8206,99.73,9,44.8785,942.4485,897.57,4.761904762,44.8785,6.5,3,2,1,2,3,61,210
888-02-0338,26.23,9,11.8035,247.8735,236.07,4.761904762,11.8035,5.9,1,2,2,2,1,25,211
677-11-0152,93.26,9,41.967,881.307,839.34,4.761904762,41.967,8.8,2,2,1,5,2,16,212
142-63-6033,92.36,5,23.09,484.89,461.8,4.761904762,23.09,4.9,3,2,2,3,1,79,213
656-16-1063,46.42,3,6.963,146.223,139.26,4.761904762,6.963,4.4,3,2,2,4,3,4,214
891-58-8335,29.61,7,10.3635,217.6335,207.27,4.761904762,10.3635,6.5,3,1,1,4,2,70,215
802-43-8934,18.28,1,0.914,19.194,18.28,4.761904762,0.914,8.3,1,2,2,3,3,81,216
560-30-5617,24.77,5,6.1925,130.0425,123.85,4.761904762,6.1925,8.5,3,2,1,4,2,83,217
319-74-2561,94.64,3,14.196,298.116,283.92,4.761904762,14.196,5.5,1,1,1,2,2,52,218
549-03-9315,94.87,8,37.948,796.908,758.96,4.761904762,37.948,8.7,3,2,2,6,1,43,219
790-29-1172,57.34,3,8.601,180.621,172.02,4.761904762,8.601,7.9,3,2,1,5,3,69,220
239-36-3640,45.35,6,13.605,285.705,272.1,4.761904762,13.605,6.1,3,2,2,2,1,31,221
468-01-2051,62.08,7,21.728,456.288,434.56,4.761904762,21.728,5.4,3,2,2,5,1,65,222
389-25-3394,11.81,5,2.9525,62.0025,59.05,4.761904762,2.9525,9.4,2,2,2,2,2,48,223
279-62-1445,12.54,1,0.627,13.167,12.54,4.761904762,0.627,8.2,2,1,1,6,2,52,224
213-72-6612,43.25,2,4.325,90.825,86.5,4.761904762,4.325,6.2,1,2,2,5,2,79,225
746-68-6593,87.16,2,8.716,183.036,174.32,4.761904762,8.716,9.7,2,1,1,4,3,11,226
836-82-5858,69.37,9,31.2165,655.5465,624.33,4.761904762,31.2165,4.0,3,1,2,1,1,26,227
583-72-1480,37.06,4,7.412,155.652,148.24,4.761904762,7.412,9.7,2,1,2,2,1,31,228
466-61-5506,90.7,6,27.21,571.41,544.2,4.761904762,27.21,5.3,3,1,1,2,2,57,229
721-86-6247,63.42,8,25.368,532.728,507.36,4.761904762,25.368,7.4,1,2,1,3,1,70,230
289-65-5721,81.37,2,8.137,170.877,162.74,4.761904762,8.137,6.5,3,2,1,6,2,26,231
545-46-3100,10.59,3,1.5885,33.3585,31.77,4.761904762,1.5885,8.7,3,1,1,2,3,71,232
418-02-5978,84.09,9,37.8405,794.6505,756.81,4.761904762,37.8405,8.0,3,2,1,1,2,42,233
269-04-5750,73.82,4,14.764,310.044,295.28,4.761904762,14.764,6.7,3,1,2,6,2,52,234
157-13-5295,51.94,10,25.97,545.37,519.4,4.761904762,25.97,6.5,1,1,2,1,1,68,235
645-78-8093,93.14,2,9.314,195.594,186.28,4.761904762,9.314,4.1,1,2,1,4,1,20,236
211-30-9270,17.41,5,4.3525,91.4025,87.05,4.761904762,4.3525,4.9,2,2,2,1,3,28,237
755-12-3214,44.22,5,11.055,232.155,221.1,4.761904762,11.055,8.6,2,1,1,6,3,64,238
346-84-3103,13.22,5,3.305,69.405,66.1,4.761904762,3.305,4.3,3,1,1,2,2,61,239
478-06-7835,89.69,1,4.4845,94.1745,89.69,4.761904762,4.4845,4.9,1,2,2,6,1,11,240
540-11-4336,24.94,9,11.223,235.683,224.46,4.761904762,11.223,5.6,1,2,2,5,3,11,241
448-81-5016,59.77,2,5.977,125.517,119.54,4.761904762,5.977,5.8,1,2,2,1,3,70,242
142-72-4741,93.2,2,9.32,195.72,186.4,4.761904762,9.32,6.0,2,1,2,6,3,59,243
217-58-1179,62.65,4,12.53,263.13,250.6,4.761904762,12.53,4.2,1,1,2,3,2,5,244
376-02-8238,93.87,8,37.548,788.508,750.96,4.761904762,37.548,8.3,3,2,2,3,3,33,245
530-90-9855,47.59,8,19.036,399.756,380.72,4.761904762,19.036,5.7,1,1,2,3,2,1,246
866-05-7563,81.4,3,12.21,256.41,244.2,4.761904762,12.21,4.8,3,1,1,2,2,40,247
604-70-6476,17.94,5,4.485,94.185,89.7,4.761904762,4.485,6.8,1,1,2,6,1,23,248
799-71-1548,77.72,4,15.544,326.424,310.88,4.761904762,15.544,8.8,1,1,2,2,3,7,249
785-13-7708,73.06,7,25.571,536.991,511.42,4.761904762,25.571,4.2,3,2,2,5,3,14,250
845-51-0542,46.55,9,20.9475,439.8975,418.95,4.761904762,20.9475,6.4,3,1,2,5,1,33,251
662-47-5456,35.19,10,17.595,369.495,351.9,4.761904762,17.595,8.4,2,1,2,6,3,76,252
883-17-4236,14.39,2,1.439,30.219,28.78,4.761904762,1.439,7.2,2,2,1,4,3,61,253
290-68-2984,23.75,4,4.75,99.75,95.0,4.761904762,4.75,5.2,1,2,2,3,2,75,254
704-11-6354,58.9,8,23.56,494.76,471.2,4.761904762,23.56,8.9,1,1,2,3,2,6,255
110-48-7033,32.62,4,6.524,137.004,130.48,4.761904762,6.524,9.0,3,1,2,6,2,29,256
366-93-0948,66.35,1,3.3175,69.6675,66.35,4.761904762,3.3175,9.7,1,1,2,2,3,31,257
